congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,Meta
116,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.355,0.459,-168.05046,0.7983,746,70,,0.52,0.367,"Source:  Lewis, Jeffrey B., Keith Poole, Howard Rosenthal, Adam Boche, Aaron Rudkin, and Luke Sonnet (2020). Voteview: Congressional Roll-Call Votes Database. https://voteview.com/ "
116,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.391,0.402,-28.35716,0.9637,767,11,,-0.431,0.386,Retrieved: 2020-10-07
116,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.362,0.658,-88.22659,0.88206,703,30,,0.345,0.671,
116,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.649,-0.449,-133.0951,0.84368,783,49,,0.779,-0.38,
116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.611,0.246,-102.12042,0.86017,678,40,,0.709,0.174,
116,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.711,-0.04,-98.96553,0.87983,773,41,,0.668,0.071,
116,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.369,0.59,-119.35356,0.85288,750,43,,0.453,0.478,
116,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.022,-216.84125,0.75007,754,81,,0.33,0.113,
116,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.256,-21.38608,0.97181,748,8,,-0.583,-0.576,
116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.164,-0.007,-46.64628,0.93481,692,19,,-0.369,0.4,
116,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.678,-0.42,-117.46036,0.85231,735,45,,0.919,-0.395,
116,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.589,-0.321,-197.31712,0.77824,787,92,,0.517,-0.296,
116,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.449,-0.013,-20.98747,0.97332,776,11,,-0.431,0.042,
116,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.882,-0.471,-93.71435,0.88583,773,30,,1,-0.03,
116,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.188,0.147,-44.29308,0.94459,777,15,,-0.333,0.402,
116,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.606,-0.033,-102.0045,0.87697,777,48,,0.595,0.001,
116,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.311,-0.051,-19.95498,0.97496,787,8,,-0.311,-0.051,
116,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.414,0.493,-84.16673,0.89039,725,36,,0.511,0.531,
116,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.357,0.586,-66.47716,0.9192,789,23,,0.383,0.613,
116,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.454,0.227,-90.0628,0.89135,783,33,,0.424,0.333,
116,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.55,0.352,-71.5456,0.91182,775,29,,0.551,0.46,
116,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-0.604,0.99061,64,0,,-0.427,0.184,
116,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.349,-0.129,-14.57243,0.98165,787,4,,-0.427,-0.01,
